,Package,GL,AR/AP,DEB,$£€¥,OB,POS,EC,SOCT,PR,ERP,CRM,BI,HRM,"Manf.
/BOM",SCM,IM—,RM,D/WM,MU,"Multi
Co",Tax,Market focus_All Markets,Market focus_Low to Mid-Market,Market focus_Low to Mid-market,Market focus_Low to mid-Market,Market focus_Low to mid-market,Market focus_Mid to high end market,Market focus_Mid-market,Market focus_Personal,Market focus_Personal and small enterprise,Market focus_Small to Mid-Sized Enterprises,Structure_Client-server,"Structure_Multi-User, Web Access, Cloud Hostable",Structure_Stand alone,Structure_Thin client - Server or Stand alone,Structure_Web based,Structure_Web based + stand alone,Structure_Web based and Client-server,"Structure_Web based, Stand alone","Structure_Web based, on-premise, Saas, On Demand",Structure_stand alone,Language_C++,"Language_C++, Qt","Language_C, GTK+","Language_C, Scheme",Language_Delphi,Language_Java,Language_Java EE,"Language_Java on JBoss, GlassFish, PostgreSQL","Language_Java on Tomcat, OSGi, PostgreSQL, Oracle",Language_PHP,Language_Perl,Language_Python
0,Adempiere,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,Apache OFBiz,Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2,Compiere,,,,,,Yes,,,,Yes,Yes,,,Yes,,,,Yes,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3,FrontAccounting,Yes,Yes,Yes,Yes,,Yes,,,,Yes,Yes,,,Yes,Yes,Yes,,,Yes,Yes,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
4,GnuCash,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,ltd,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
5,GNU Enterprise,,,,Yes,,,Yes,,,Yes,Yes,,Yes,,Yes,,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6,HomeBank,Yes,,No,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
7,iDempiere,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
8,JFire,,,Yes,,,Yes,,,,Yes,Yes,,,,,,,Yes,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
9,KMyMoney,Yes,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
10,LedgerSMB,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
11,Openbravo,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
12,Odoo,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
13,Postbooks,Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
14,SQL-Ledger,Yes,Yes,Yes,Yes,,Yes,,,,Yes,,,,Yes,,Yes,,,Yes,Yes,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
15,Tryton,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
16,TurboCASH,Yes,Yes,Yes,,,Yes,,,,,,,,Yes,,Yes,,,Yes,Yes,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
17,webERP,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
